iter	Passed	Remaining
0	143	143614
1	145	72649
2	147	49119
3	149	37291
4	151	30149
5	153	25384
6	155	21989
7	157	19515
8	159	17557
9	161	15991
10	163	14683
11	164	13576
12	166	12625
13	167	11807
14	169	11134
15	171	10548
16	172	10001
17	174	9519
18	175	9071
19	176	8662
20	177	8293
21	179	7961
22	180	7651
23	181	7367
24	181	7092
25	182	6838
26	183	6599
27	183	6381
28	184	6176
29	185	5983
30	185	5800
31	186	5629
32	186	5468
33	187	5316
34	187	5173
35	188	5039
36	188	4911
37	189	4791
38	189	4677
39	190	4568
40	190	4465
41	191	4367
42	191	4272
43	192	4183
44	193	4100
45	193	4019
46	194	3942
47	195	3868
48	195	3797
49	196	3731
50	197	3667
51	197	3605
52	198	3545
53	199	3487
54	199	3432
55	200	3378
56	201	3325
57	201	3273
58	202	3224
59	202	3177
60	203	3132
61	204	3087
62	204	3044
63	205	3003
64	206	2964
65	206	2924
66	207	2885
67	207	2844
68	208	2808
69	208	2772
70	209	2738
71	209	2705
72	210	2674
73	211	2643
74	211	2613
75	212	2583
76	213	2554
77	213	2526
78	214	2497
79	214	2470
80	215	2443
81	215	2417
82	216	2392
83	217	2367
84	217	2341
85	218	2317
86	218	2292
87	219	2270
88	219	2249
89	220	2228
90	220	2207
91	221	2186
92	222	2166
93	222	2146
94	223	2127
95	223	2109
96	224	2090
97	225	2071
98	225	2053
99	226	2035
100	226	2018
101	227	1999
102	227	1983
103	228	1967
104	228	1951
105	229	1935
106	230	1919
107	230	1903
108	231	1889
109	231	1874
110	232	1860
111	232	1846
112	233	1832
113	233	1818
114	234	1805
115	234	1790
116	235	1777
117	236	1764
118	236	1751
119	237	1738
120	237	1726
121	238	1714
122	238	1700
123	238	1688
124	239	1676
125	240	1666
126	240	1655
127	241	1643
128	241	1632
129	242	1621
130	242	1610
131	243	1600
132	243	1590
133	244	1579
134	245	1570
135	245	1560
136	246	1553
137	246	1542
138	247	1533
139	248	1523
140	248	1514
141	249	1505
142	249	1496
143	250	1487
144	250	1478
145	251	1469
146	251	1461
147	252	1453
148	253	1445
149	253	1436
150	254	1429
151	254	1421
152	255	1414
153	256	1406
154	256	1398
155	257	1390
156	257	1383
157	258	1375
158	258	1367
159	259	1360
160	259	1354
161	260	1347
162	260	1340
163	261	1333
164	262	1326
165	262	1319
166	263	1313
167	263	1306
168	264	1300
169	264	1293
170	265	1287
171	266	1280
172	266	1274
173	267	1268
174	267	1262
175	268	1256
176	268	1250
177	269	1245
178	270	1239
179	270	1233
180	271	1226
181	271	1220
182	272	1214
183	272	1208
184	273	1203
185	273	1197
186	274	1192
187	274	1187
188	275	1182
189	276	1177
190	276	1172
191	277	1167
192	277	1162
193	278	1157
194	279	1152
